Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.5220E+03 .1886E+01 .1545E+01 .1993E+00 .1663E+01
.5230E+03 .1853E+01 .1519E+01 .1950E+00 .1634E+01
.5240E+03 .1922E+01 .1576E+01 .2014E+00 .1694E+01
.5250E+03 .1949E+01 .1597E+01 .2031E+00 .1716E+01
.5260E+03 .1863E+01 .1527E+01 .1933E+00 .1640E+01
.5270E+03 .1759E+01 .1441E+01 .1815E+00 .1546E+01
.5280E+03 .1863E+01 .1526E+01 .1913E+00 .1636E+01
.5290E+03 .1966E+01 .1610E+01 .2007E+00 .1725E+01
.5300E+03 .1939E+01 .1588E+01 .1971E+00 .1701E+01
.5310E+03 .1969E+01 .1613E+01 .1992E+00 .1727E+01
.5320E+03 .1902E+01 .1559E+01 .1916E+00 .1668E+01
.5330E+03 .1846E+01 .1514E+01 .1852E+00 .1619E+01
.5340E+03 .1899E+01 .1559E+01 .1897E+00 .1666E+01
.5350E+03 .1938E+01 .1593E+01 .1928E+00 .1701E+01
.5360E+03 .1954E+01 .1607E+01 .1936E+00 .1716E+01
.5370E+03 .1875E+01 .1543E+01 .1851E+00 .1647E+01
.5380E+03 .1907E+01 .1571E+01 .1875E+00 .1676E+01
.5390E+03 .1891E+01 .1559E+01 .1852E+00 .1662E+01
.5400E+03 .1814E+01 .1496E+01 .1767E+00 .1594E+01
.5410E+03 .1832E+01 .1510E+01 .1773E+00 .1608E+01
.5420E+03 .1892E+01 .1560E+01 .1821E+00 .1659E+01
.5430E+03 .1867E+01 .1542E+01 .1792E+00 .1639E+01
.5440E+03 .1904E+01 .1571E+01 .1817E+00 .1670E+01
.5450E+03 .1897E+01 .1566E+01 .1801E+00 .1663E+01
.5460E+03 .1910E+01 .1576E+01 .1801E+00 .1672E+01
.5470E+03 .1905E+01 .1572E+01 .1789E+00 .1668E+01
.5480E+03 .1880E+01 .1553E+01 .1758E+00 .1647E+01
.5490E+03 .1884E+01 .1558E+01 .1755E+00 .1651E+01
